#melhor.pose.x;melhor.pose.y;melhor.pose.z;melhor.ypr.x;melhor.ypr.y;melhor.ypr.z;pior.pose.x;pior.pose.y;pior.pose.z;pior.ypr.x;pior.ypr.y;pior.ypr.z;media.pose.x;media.pose.y;media.pose.z;media.ypr.x;media.ypr.y;media.ypr.z;
17.8317;-7.72275;-31.6105;-0.0169612;0.0159808;-1.63908;24.541;-10.7047;-36.5473;-0.0104078;-0.0120636;-1.67399;13.1936;-6.98058;-30.1017;0.00269016;-0.00513946;-1.6753;
17.6756;-8.06751;-32.3143;0.0516778;-0.00792009;-1.97917;24.167;-11.3915;-36.5409;0.0275687;-0.00614022;-2.03893;13.1913;-7.61396;-29.5465;0.00424896;-0.00621468;-2.00558;
17.2263;-8.45439;-32.3949;0.0449937;-0.0247357;-2.32981;23.7157;-11.8943;-36.4244;0.01691;-0.0156421;-2.38324;12.7032;-8.07848;-30.4026;0.00449429;-0.00661382;-2.35639;
16.6877;-8.71299;-32.4629;0.0366189;-0.0281591;-2.68205;22.8684;-12.0673;-36.9059;-0.0142874;0.00401811;-2.71718;12.2562;-8.33733;-29.8784;0.00556834;-0.00525125;-2.70571;
15.9842;-8.91596;-32.4371;0.0549136;-0.0278708;-3.02038;22.2142;-12.1509;-36.9674;-0.00947759;0.00792701;-3.07137;11.5659;-8.55233;-30.07;0.0058323;-0.0053197;-3.05634;
15.403;-8.42346;-32.5323;0.0552317;-0.0381306;2.90013;21.6408;-12.1514;-37.0718;-0.00275187;0.00246621;2.85211;10.9636;-8.55207;-30.7035;0.00682311;-0.00613422;2.87607;
14.7942;-8.44631;-32.6865;0.0778815;-0.0295194;2.60362;21.1609;-11.8144;-37.116;-0.011879;-0.00137366;2.56576;10.7184;-8.25731;-31.4074;0.00976464;-0.00738329;2.58672;
14.3223;-7.84744;-32.608;0.0692478;-0.0347586;2.51357;20.3643;-0.842068;-53.7355;0.00489531;-0.00276413;2.46449;10.5184;-7.99262;-31.7666;0.0105709;-0.00669795;2.46979;
13.7634;-7.48946;-32.7538;0.0669872;-0.00993349;2.49822;19.9002;-0.435748;-53.8758;0.0119598;-0.0206863;2.45617;10.1196;-7.54855;-31.983;0.00857876;-0.00984283;2.45558;
13.1841;-7.03557;-32.7049;0.0725494;-0.0738127;2.49569;19.2894;0.106613;-53.7995;0.0235167;-0.0152955;2.46078;9.61641;-7.18288;-32.7863;0.01129;-0.0101868;2.45641;
12.7317;-6.7259;-33.0429;0.0827511;-0.00277432;2.50258;18.8365;0.675653;-53.8251;0.0141837;-0.0178993;2.46163;8.71588;-6.76027;-33.3596;0.00978657;-0.008251;2.45936;
12.1742;-6.40926;-33.3122;0.0851402;0.00377644;2.49399;-3.62241;-4.63492;-50.0338;-0.0136353;-0.0530729;2.49134;8.45797;-6.46086;-33.4591;0.0102939;-0.0109864;2.45756;
11.6811;-5.95759;-32.9021;0.0812828;-0.0245046;2.48422;-4.17621;-4.2393;-50.0706;-0.0140571;-0.0605338;2.49395;7.92768;-6.09125;-34.1369;0.011213;-0.010824;2.45664;
11.244;-5.61589;-33.1707;0.0785223;-0.0104936;2.48803;-4.72929;-3.86793;-50.1791;-0.0119891;-0.0615631;2.49588;7.34816;-5.68386;-34.3327;0.0104722;-0.0121426;2.45894;
10.7345;-5.22471;-33.1785;0.0750223;-0.011243;2.49231;-5.3097;-3.41885;-50.1857;-0.0257469;-0.0612738;2.49487;7.11796;-5.37499;-34.9723;0.0100927;-0.0115049;2.45913;
10.1629;-4.90698;-33.275;0.0798765;-0.014218;2.50165;-5.7842;-3.05696;-50.1701;-0.016438;-0.0547299;2.48934;6.7141;-5.00228;-35.5268;0.00958475;-0.0124213;2.45506;
9.66828;-4.44519;-33.339;0.0709826;-0.0278919;2.50313;-6.27431;-2.7678;-50.3264;-0.016903;-0.0612765;2.48017;6.39853;-4.61302;-35.4064;0.00874768;-0.0105844;2.45426;
9.13131;-4.22089;-33.2904;0.085002;-0.024015;2.51489;-6.8124;-2.28882;-50.3869;-0.0246134;-0.0579617;2.48714;5.97164;-4.26625;-35.079;0.00943594;-0.0112203;2.45365;
1.47692;-3.88693;-44.773;-0.103275;0.0476063;2.38426;-7.36499;-2.09393;-50.5774;-0.00896815;-0.0620462;2.48007;5.82821;-3.95817;-34.5891;0.0100239;-0.0111897;2.45479;
1.12295;-3.50911;-44.9582;-0.10325;0.0446875;2.3809;-7.7424;-1.71824;-50.5904;-0.0101145;-0.0637406;2.49312;5.38739;-3.59225;-34.6714;0.0107499;-0.0110133;2.45567;
0.405698;-3.02116;-44.9212;-0.110473;0.0418135;2.40349;-8.36407;-1.49046;-50.9731;-0.0113806;-0.0502566;2.47604;5.22608;-3.21135;-34.2908;0.0126763;-0.0115694;2.45521;
-0.35085;-2.33103;-45.5028;-0.0468583;0.0918998;2.4207;-8.94324;-1.02262;-51.1425;-0.0149343;-0.0484263;2.4727;4.82802;-2.82897;-34.5783;0.0150009;-0.0100126;2.45593;
-0.790903;-1.8819;-45.218;-0.0907655;0.0430156;2.39328;-9.48418;-0.555894;-51.2109;-0.000854967;-0.0484152;2.46966;4.18902;-2.45939;-35.0227;0.0163083;-0.00924195;2.46055;
-1.10038;-1.41646;-45.2432;-0.0904611;0.052621;2.38453;-9.56719;-0.217068;-50.903;0.00701612;-0.0712836;2.51373;3.93887;-2.11497;-34.8131;0.0151304;-0.00702447;2.45923;
-1.58938;-1.27779;-45.4123;-0.0979063;0.0506715;2.42008;-9.21915;0.135193;-51.7817;-0.011561;0.00465749;2.4951;3.11238;-1.75619;-35.6945;0.0152692;-0.00564786;2.46049;
-1.85356;-0.557545;-45.4384;-0.0862686;0.0570481;2.37691;-9.81189;0.164499;-52.0007;-0.0175417;0.0244365;2.53063;2.63455;-1.39161;-35.8861;0.0152145;-0.00657767;2.4575;
-2.19606;-0.207279;-45.525;-0.0906074;0.0499856;2.36648;-10.178;0.868033;-52.0543;-0.0190443;-0.000594654;2.50348;2.03349;-1.02663;-35.9049;0.014727;-0.00431328;2.45763;
-2.67779;0.296135;-45.7038;-0.0943077;0.0461098;2.36041;-10.7028;1.1866;-52.0923;-0.0245322;0.00501654;2.50076;1.4244;-0.616533;-36.2993;0.0141018;-0.00687605;2.4561;
-3.16916;0.784243;-45.9365;-0.0975122;0.0424176;2.36241;-11.2637;1.57107;-52.1065;-0.020658;0.0084736;2.49928;0.929324;-0.21731;-36.8299;0.0130977;-0.00576513;2.45733;
-3.51456;1.20799;-46.1171;-0.106845;0.0451417;2.36008;-11.8328;1.89064;-52.4494;-0.0222018;0.0222462;2.51255;0.405635;0.144132;-36.9947;0.0136985;-0.00590339;2.45738;
-3.89617;1.66513;-46.0672;-0.104459;0.0488808;2.36813;-12.3974;2.25961;-52.5518;-0.0235598;0.0126537;2.52179;-0.356365;0.545292;-37.457;0.0122306;-0.0044939;2.45821;
-4.3202;2.06769;-46.1799;-0.113043;0.0407892;2.3766;-12.7683;2.55028;-52.6892;-0.0155786;0.0298357;2.51706;-0.769456;0.907866;-37.3007;0.0109159;-0.00457671;2.46055;
-4.64217;2.34512;-46.4227;-0.117904;0.0523555;2.36559;-12.8219;3.11023;-52.4093;-0.0279361;0.00174685;2.5122;-1.13302;1.2995;-37.2145;0.00815401;-0.00255289;2.45845;
-5.14555;2.76705;-46.6589;-0.13888;0.0666172;2.37276;-13.2538;3.60124;-52.4818;-0.00409873;-2.08221e-05;2.53462;-1.60027;1.68245;-37.2071;0.00944132;-0.00143079;2.45743;
-5.40181;3.23776;-46.5683;-0.109852;0.0579686;2.39118;-13.702;3.90399;-52.5111;-0.0217349;0.00572027;2.5553;-2.22054;2.07978;-37.4821;0.0105693;-0.00352031;2.45879;
-5.75985;3.75385;-46.673;-0.112723;0.0594134;2.38668;-14.2016;4.16776;-52.4825;-0.0226813;-0.00897595;2.53094;-2.75572;2.48786;-37.881;0.00846775;-0.00220367;2.4592;
-6.31493;4.14241;-46.6776;-0.103011;0.0605119;2.3695;-14.7032;4.53345;-52.4756;-0.0212713;-0.00934721;2.53374;-3.37163;2.84636;-38.0212;0.00852089;-0.00392275;2.46266;
-6.65793;4.60296;-46.8804;-0.0951446;0.0689318;2.36629;-15.2294;4.96698;-52.6236;-0.0373709;0.00324115;2.53685;-3.82188;3.24594;-38.444;0.00786739;-0.00169755;2.4584;
-7.2259;5.1363;-47.013;-0.0884472;0.0669198;2.37374;-15.8702;5.49526;-52.7524;0.00738482;-0.00703703;2.53548;-4.4824;3.83787;-38.7235;0.00694499;-0.00356458;2.45639;
-7.96263;5.88269;-47.0982;-0.0842867;0.0500176;2.36395;-16.5087;6.08652;-52.932;-0.0245166;0.0141455;2.54749;-5.37145;4.40493;-39.0291;0.00603928;0.000391918;2.45684;
-8.71475;6.62478;-47.2874;-0.0842271;0.0444144;2.36152;-17.3476;6.58281;-53.1767;-0.0087807;0.0148795;2.55404;-6.15624;5.02214;-38.9639;0.00424989;-0.0022694;2.45872;
-9.31509;7.29122;-47.5581;-0.111984;0.0537428;2.36195;-18.3364;7.2761;-53.083;-0.0413629;0.0150101;2.55534;-7.05223;5.63528;-39.3054;0.00585644;-0.00136795;2.45951;
-9.93886;8.03535;-47.7498;-0.111593;0.0515858;2.36694;-19.2238;7.74601;-53.2982;-0.05781;0.0190206;2.55356;-8.09288;6.29052;-39.7006;0.00391447;-0.00367471;2.46018;
-10.552;8.68023;-47.9036;-0.0967982;0.0508626;2.36974;-20.1151;8.23178;-53.3716;-0.0651599;0.0236051;2.55645;-8.85715;6.9444;-39.794;0.00296291;-0.00286568;2.45889;
-11.528;9.46047;-48.1448;-0.0884095;0.0518143;2.40828;-1.46795;8.99576;-37.0677;0.0420513;0.0300015;2.30964;-9.60391;7.55666;-39.5452;0.00170963;-0.00150184;2.46039;
-12.0354;10.0173;-48.0879;-0.0720812;0.0632003;2.40758;-4.95613;6.45434;-7.4642;0.0417226;-0.0808486;2.52488;-10.2907;8.17744;-39.1872;0.000311818;-0.000353756;2.45762;
-12.7738;10.8004;-48.2808;-0.0650062;0.064306;2.41365;-5.82073;7.07547;-7.19155;0.046281;-0.137556;2.52773;-11.1484;8.83379;-39.3721;0.000119832;-0.000898532;2.45611;
-13.6312;11.5835;-48.3587;-0.0769375;0.0312481;2.40816;-3.96841;10.6567;-37.7589;0.0634709;0.0911016;2.35415;-11.7648;9.48428;-39.2594;0.00111659;-0.00250298;2.45471;
-14.1792;11.9701;-48.7315;-0.0525869;0.0678397;2.41233;-4.61512;11.2647;-37.9816;0.0686321;0.102228;2.36178;-12.4695;10.1308;-39.2482;0.0023289;-0.00112001;2.45556;
